workload_id,workload_type,priority,estimated_duration_hours,cpu_requirement,memory_requirement_gb,estimated_energy_kwh,carbon_tolerance,deadline_hours,energy_efficiency_score
WL-0059,Web-Service,Low,1.91,0.37,9,3.44,Flexible,5.04,0.9
WL-0060,AI-Inference,Medium,0.23,0.54,23,3.42,Flexible,0.37,0.78
WL-0061,Web-Service,High,0.93,0.42,4,5.03,Moderate,1.28,0.88
WL-0062,AI-Inference,Medium,0.36,0.67,52,9.21,Moderate,0.52,0.87
WL-0063,Web-Service,Critical,0.86,0.3,42,4.24,Flexible,1.57,0.9
WL-0064,ML-Training,High,6.88,0.85,36,8.32,Strict,15.67,0.67
WL-0065,AI-Inference,Medium,0.46,0.59,23,4.64,Moderate,0.87,0.78
WL-0066,Web-Service,Low,0.91,0.29,20,9.61,Moderate,1.38,0.92
WL-0067,AI-Inference,Low,0.36,0.65,45,8.69,Flexible,0.53,0.76
WL-0068,Web-Service,Critical,1.19,0.32,31,7.83,Moderate,2.34,0.87
WL-0069,ML-Training,Critical,15.28,0.9,49,3.68,Strict,45.06,0.67
WL-0070,ML-Training,Low,19.28,0.95,13,0.57,Strict,43.62,0.68
WL-0071,Web-Service,Critical,1.08,0.38,22,0.88,Moderate,2.19,0.87
WL-0072,ML-Training,High,21.56,0.87,53,8.28,Strict,36.25,0.67
WL-0073,Data-Processing,Low,3.5,0.51,26,7.45,Strict,8.85,0.8
WL-0074,Web-Service,Critical,0.43,0.36,31,8.98,Moderate,1.28,0.82
WL-0075,Web-Service,Critical,1.85,0.47,6,1.23,Moderate,2.34,0.92
WL-0076,ML-Training,High,10.4,0.95,31,4.31,Flexible,30.28,0.79
WL-0077,Data-Processing,Low,6.05,0.72,54,2.32,Moderate,18.1,0.84
WL-0078,Web-Service,Critical,1.42,0.21,21,7.6,Flexible,2.41,0.83
WL-0079,ML-Training,Critical,15.3,0.93,17,0.68,Moderate,36.46,0.65
WL-0080,Data-Processing,Medium,2.87,0.68,18,0.67,Moderate,4.58,0.75
WL-0081,Data-Processing,High,6.1,0.68,38,4.2,Strict,7.45,0.76
WL-0082,Data-Processing,Critical,3.24,0.75,17,5.56,Flexible,7.81,0.83
WL-0083,Data-Processing,Critical,3.82,0.7,39,9.86,Flexible,6.01,0.71
WL-0084,Data-Processing,Medium,3.13,0.73,43,6.06,Strict,5.73,0.77
WL-0085,AI-Inference,Critical,0.24,0.63,19,4.07,Strict,0.34,0.79
WL-0086,ML-Training,Medium,4.13,0.75,59,2.01,Strict,12.24,0.71
WL-0087,AI-Inference,High,0.21,0.47,44,1.5,Strict,0.61,0.79
WL-0088,Data-Processing,Critical,4.52,0.66,22,8.35,Moderate,6.7,0.76
WL-0089,Web-Service,Medium,0.86,0.2,47,9.12,Moderate,1.93,0.91
WL-0090,AI-Inference,Medium,0.49,0.52,43,6.39,Flexible,1.11,0.84
WL-0091,AI-Inference,Critical,0.48,0.5,47,1.36,Moderate,0.59,0.84
WL-0092,AI-Inference,High,0.3,0.66,50,8.81,Flexible,0.61,0.77
WL-0093,Web-Service,Critical,0.71,0.29,33,2.83,Strict,1.43,0.83
WL-0094,Web-Service,High,1.61,0.49,59,9.24,Flexible,2.65,0.82
WL-0095,ML-Training,Critical,2.15,0.71,59,4.16,Moderate,6.29,0.77
WL-0096,ML-Training,Critical,17.75,0.85,34,8.36,Flexible,30.66,0.74
WL-0097,AI-Inference,Critical,0.42,0.62,31,7.98,Flexible,0.62,0.81
WL-0098,Data-Processing,High,6.31,0.67,30,6.74,Flexible,17.93,0.81
WL-0099,AI-Inference,Critical,0.14,0.43,52,2.82,Moderate,0.26,0.76
WL-0100,AI-Inference,Low,0.2,0.54,52,1.83,Strict,0.34,0.79
WL-0101,Web-Service,Medium,1.77,0.37,40,6.52,Moderate,4.4,0.85
WL-0102,Data-Processing,Critical,2.08,0.74,20,6.55,Flexible,5.68,0.79
WL-0103,Data-Processing,Critical,2.04,0.5,34,6.38,Flexible,6.01,0.78
WL-0104,Web-Service,Critical,1.22,0.35,45,2.11,Strict,2.51,0.86
WL-0105,AI-Inference,High,0.45,0.4,17,2.63,Moderate,1.04,0.8
WL-0106,ML-Training,Low,16.3,0.79,57,7.59,Strict,45.91,0.78
WL-0107,Web-Service,Low,0.79,0.21,21,5.76,Strict,2.15,0.94
WL-0108,ML-Training,High,23.35,0.71,55,7.52,Strict,67.37,0.65
WL-0109,Web-Service,High,0.53,0.42,39,3.14,Strict,0.82,0.95
WL-0110,ML-Training,Medium,21.94,0.73,41,7.74,Moderate,44.65,0.64
WL-0111,ML-Training,Low,9.01,0.86,34,2.38,Strict,20.38,0.62
WL-0112,AI-Inference,Critical,0.18,0.4,53,6.6,Strict,0.49,0.89
WL-0113,AI-Inference,Medium,0.5,0.48,25,5.32,Strict,0.85,0.79
WL-0114,Data-Processing,High,2.85,0.66,44,4.68,Flexible,5.92,0.8
WL-0115,Data-Processing,Critical,7.25,0.65,47,3.39,Moderate,13.18,0.73
WL-0116,Web-Service,High,0.47,0.23,24,7.78,Moderate,0.65,0.85
WL-0117,Data-Processing,Medium,7.49,0.56,53,4.26,Flexible,20.49,0.75
WL-0118,Web-Service,Critical,0.72,0.35,53,7.4,Flexible,2.07,0.89
WL-0119,AI-Inference,High,0.47,0.65,57,7.58,Moderate,0.83,0.8
WL-0120,AI-Inference,Critical,0.39,0.4,26,6.64,Flexible,1.16,0.76
WL-0121,Data-Processing,High,1.14,0.71,57,4.05,Moderate,2.24,0.81
WL-0122,AI-Inference,Critical,0.2,0.57,58,3.1,Flexible,0.32,0.78
WL-0123,Data-Processing,Low,6.06,0.78,53,6.76,Strict,17.74,0.84
WL-0124,AI-Inference,Low,0.16,0.7,44,3.76,Strict,0.3,0.76
WL-0125,Data-Processing,Critical,1.78,0.54,56,1.94,Flexible,4.02,0.75
WL-0126,Web-Service,High,1.17,0.33,39,5.54,Moderate,2.85,0.88
WL-0127,Web-Service,High,1.57,0.22,58,3.93,Moderate,3.99,0.91
WL-0128,Web-Service,High,0.45,0.34,20,6.23,Flexible,0.65,0.85
WL-0129,AI-Inference,Low,0.24,0.64,62,9.9,Moderate,0.3,0.87
WL-0130,AI-Inference,Critical,0.5,0.69,22,5.96,Strict,0.66,0.8
WL-0131,ML-Training,Low,14.44,0.94,40,9.26,Strict,34.22,0.71
WL-0132,Web-Service,Critical,1.53,0.43,60,8.87,Strict,2.25,0.84
WL-0133,Data-Processing,Critical,1.51,0.69,60,0.7,Strict,2.61,0.78
WL-0134,AI-Inference,Medium,0.06,0.47,41,6.91,Moderate,0.13,0.79
WL-0135,Web-Service,Medium,1.56,0.37,16,7.84,Flexible,2.74,0.93
WL-0136,ML-Training,High,2.58,0.85,8,3.61,Moderate,7.4,0.76
WL-0137,Web-Service,Medium,0.48,0.25,53,3.88,Flexible,1.34,0.83
WL-0138,AI-Inference,Medium,0.11,0.68,28,0.97,Moderate,0.2,0.88
WL-0139,Web-Service,Low,1.56,0.38,14,7.69,Flexible,4.53,0.95
WL-0140,Data-Processing,High,6.25,0.6,34,2.93,Flexible,18.12,0.85
WL-0141,ML-Training,High,2.16,0.9,27,9.48,Flexible,4.28,0.77
WL-0142,Data-Processing,Critical,2.61,0.71,5,9.54,Moderate,6.55,0.82
WL-0143,Data-Processing,Medium,1.32,0.75,12,7.1,Flexible,1.73,0.7
WL-0144,Web-Service,Medium,1.75,0.4,30,2.14,Strict,5.13,0.86
WL-0145,Web-Service,Medium,0.79,0.48,23,4.33,Moderate,2.25,0.8
WL-0146,Data-Processing,Critical,5.35,0.51,6,7.48,Flexible,15.23,0.7
WL-0147,ML-Training,Low,13.87,0.89,4,3.81,Flexible,18.94,0.63
WL-0148,ML-Training,Critical,4.47,0.82,12,8.64,Strict,5.37,0.77
WL-0149,AI-Inference,High,0.26,0.67,43,6.85,Flexible,0.54,0.85
WL-0150,Web-Service,Low,0.34,0.35,51,1.4,Moderate,0.58,0.82
WL-0151,ML-Training,Critical,7.5,0.76,46,6.11,Strict,16.78,0.66
WL-0152,Data-Processing,Low,6.32,0.54,51,9.11,Moderate,14.77,0.8
WL-0153,Web-Service,Medium,1.96,0.2,14,4.27,Flexible,4.37,0.93
WL-0154,AI-Inference,Critical,0.44,0.46,32,9.93,Moderate,1.01,0.9
WL-0155,AI-Inference,High,0.1,0.48,61,2.27,Moderate,0.27,0.89
WL-0156,AI-Inference,High,0.4,0.54,8,7.93,Moderate,0.94,0.88
WL-0157,Web-Service,High,0.28,0.49,12,8.8,Moderate,0.56,0.82
WL-0158,ML-Training,Medium,23.26,0.94,13,8.48,Flexible,60.39,0.76
WL-0159,Web-Service,Low,1.49,0.31,55,5.56,Strict,2.41,0.82
WL-0160,Web-Service,Medium,0.81,0.23,57,9.34,Strict,1.2,0.9
WL-0161,AI-Inference,High,0.44,0.48,28,9.06,Moderate,1.23,0.89
WL-0162,AI-Inference,High,0.19,0.62,17,9.27,Strict,0.44,0.76
WL-0163,ML-Training,Medium,3.3,0.8,29,7.97,Strict,6.45,0.76
WL-0164,Web-Service,Medium,0.57,0.31,61,4.31,Strict,1.45,0.94
WL-0165,Web-Service,Low,0.49,0.24,37,3.46,Flexible,1.27,0.85
WL-0166,AI-Inference,Critical,0.15,0.53,13,1.17,Strict,0.28,0.83
WL-0167,Data-Processing,Critical,7.65,0.51,31,6.06,Strict,18.69,0.74
WL-0168,AI-Inference,High,0.39,0.47,19,8.76,Strict,0.82,0.9
WL-0169,AI-Inference,High,0.24,0.59,61,2.89,Strict,0.43,0.79
WL-0170,Data-Processing,Medium,7.88,0.52,41,5.2,Strict,15.61,0.82
WL-0171,Data-Processing,Critical,1.73,0.73,42,5.43,Strict,3.26,0.78
WL-0172,ML-Training,Low,14.99,0.9,52,2.77,Strict,36.13,0.72
WL-0173,AI-Inference,Critical,0.42,0.62,58,4.88,Strict,0.53,0.85
WL-0174,AI-Inference,Low,0.42,0.59,17,5.89,Flexible,0.97,0.85
WL-0175,Data-Processing,High,1.69,0.78,26,8.27,Moderate,3.1,0.81
WL-0176,Web-Service,High,0.63,0.44,53,8.04,Flexible,1.38,0.9
WL-0177,Data-Processing,Critical,6.18,0.73,58,1.34,Moderate,14.28,0.73
WL-0178,Web-Service,Critical,0.7,0.29,24,6.41,Strict,1.08,0.81
WL-0179,AI-Inference,Critical,0.14,0.66,61,3.93,Flexible,0.41,0.8
WL-0180,Data-Processing,High,1.11,0.56,52,5.82,Flexible,2.13,0.78
WL-0181,ML-Training,Critical,6.37,0.72,58,3.0,Strict,11.54,0.78
WL-0182,Data-Processing,High,3.78,0.78,43,5.92,Flexible,6.73,0.84
WL-0183,Web-Service,High,0.94,0.21,5,5.2,Strict,2.79,0.9
WL-0184,Web-Service,High,1.76,0.33,19,9.66,Strict,3.65,0.82
WL-0185,AI-Inference,Critical,0.24,0.57,44,5.97,Moderate,0.6,0.81
WL-0186,Data-Processing,Medium,6.62,0.58,24,5.63,Flexible,19.37,0.84
WL-0187,Web-Service,Medium,0.71,0.45,10,9.82,Strict,1.76,0.92
WL-0188,Data-Processing,Medium,1.73,0.75,33,3.06,Flexible,3.52,0.75
WL-0189,AI-Inference,Critical,0.27,0.53,39,6.68,Moderate,0.56,0.78
WL-0190,Web-Service,High,0.22,0.31,64,9.02,Flexible,0.55,0.84
WL-0191,AI-Inference,Critical,0.24,0.63,23,5.61,Strict,0.43,0.81
WL-0192,Web-Service,High,1.18,0.46,59,0.56,Strict,1.53,0.82
WL-0193,Data-Processing,Critical,5.11,0.73,50,2.03,Flexible,8.42,0.71
WL-0194,Web-Service,High,1.69,0.21,9,1.39,Moderate,3.77,0.91
WL-0195,AI-Inference,Medium,0.41,0.51,10,3.46,Flexible,1.02,0.88
WL-0196,Data-Processing,Low,4.5,0.56,25,4.79,Flexible,9.64,0.73
WL-0197,ML-Training,Low,21.34,0.72,14,0.52,Strict,26.1,0.74
WL-0198,Data-Processing,Low,3.69,0.51,15,2.29,Strict,7.74,0.78
WL-0199,Web-Service,High,1.95,0.23,40,2.18,Moderate,4.83,0.82
WL-0200,Web-Service,Low,1.06,0.44,55,9.38,Moderate,1.48,0.89
WL-0201,Web-Service,Medium,1.22,0.25,43,9.24,Moderate,3.51,0.83
WL-0202,AI-Inference,Medium,0.4,0.68,27,1.84,Moderate,0.62,0.76
WL-0203,AI-Inference,Low,0.07,0.42,58,5.44,Strict,0.16,0.82
WL-0204,AI-Inference,Medium,0.39,0.59,22,9.47,Moderate,0.75,0.77
WL-0205,AI-Inference,Critical,0.09,0.41,23,5.23,Moderate,0.23,0.83
WL-0206,ML-Training,Medium,13.61,0.71,45,3.48,Flexible,29.41,0.66
WL-0207,ML-Training,Critical,23.27,0.8,51,5.33,Flexible,49.23,0.71
WL-0208,ML-Training,High,22.03,0.72,8,7.28,Moderate,34.64,0.78
WL-0209,ML-Training,High,3.0,0.8,4,9.09,Strict,7.98,0.62
WL-0210,Data-Processing,Critical,7.89,0.8,6,1.98,Strict,12.97,0.76
WL-0211,Data-Processing,High,7.17,0.63,17,9.43,Strict,18.12,0.83
WL-0212,Data-Processing,Medium,3.86,0.5,56,7.9,Moderate,8.81,0.76
WL-0213,AI-Inference,Low,0.07,0.63,44,1.59,Flexible,0.19,0.85
WL-0214,AI-Inference,Critical,0.08,0.56,22,5.59,Moderate,0.22,0.86
WL-0215,Data-Processing,Low,1.76,0.54,39,8.54,Flexible,2.51,0.83
WL-0216,ML-Training,Medium,12.32,0.73,9,7.74,Flexible,20.14,0.77
WL-0217,Data-Processing,Medium,4.07,0.54,53,2.5,Moderate,5.2,0.71
WL-0218,ML-Training,High,22.87,0.79,33,2.41,Strict,29.77,0.78
WL-0219,AI-Inference,Medium,0.12,0.49,25,6.75,Moderate,0.15,0.78
WL-0220,AI-Inference,Medium,0.08,0.47,39,9.66,Flexible,0.11,0.83
WL-0221,ML-Training,High,11.02,0.83,27,0.87,Flexible,26.79,0.63
WL-0222,ML-Training,Low,10.39,0.84,58,2.63,Strict,13.12,0.75
WL-0223,ML-Training,Critical,2.44,0.91,22,7.01,Moderate,4.89,0.71
WL-0224,Web-Service,Critical,1.4,0.38,34,9.23,Flexible,2.82,0.95
WL-0225,Data-Processing,Critical,2.57,0.59,20,8.88,Moderate,6.5,0.84
WL-0226,AI-Inference,Medium,0.41,0.44,29,1.69,Strict,0.76,0.86
WL-0227,AI-Inference,Critical,0.24,0.53,33,3.95,Moderate,0.57,0.82
WL-0228,Web-Service,Medium,1.47,0.26,64,8.8,Strict,3.85,0.83
WL-0229,Data-Processing,High,7.3,0.66,17,4.23,Moderate,10.19,0.76
WL-0230,AI-Inference,Low,0.19,0.65,16,2.56,Strict,0.52,0.84
WL-0231,AI-Inference,Medium,0.47,0.53,28,5.89,Flexible,0.8,0.75
WL-0232,Web-Service,High,1.32,0.37,33,2.83,Strict,1.89,0.82
WL-0233,AI-Inference,Low,0.19,0.68,47,1.42,Flexible,0.26,0.86
WL-0234,ML-Training,High,22.24,0.92,16,7.56,Flexible,39.01,0.62
WL-0235,ML-Training,Critical,9.98,0.93,25,7.18,Moderate,17.43,0.77
WL-0236,Web-Service,Critical,1.81,0.25,14,5.84,Strict,3.71,0.88
WL-0237,Data-Processing,Medium,5.83,0.77,62,4.73,Flexible,8.42,0.8
WL-0238,AI-Inference,High,0.26,0.54,63,4.69,Strict,0.4,0.84
WL-0239,ML-Training,Low,23.35,0.94,60,4.01,Flexible,33.69,0.78
WL-0240,Data-Processing,Medium,5.74,0.78,44,3.55,Strict,15.08,0.84
WL-0241,ML-Training,Critical,9.8,0.95,14,3.97,Moderate,15.15,0.72
WL-0242,Data-Processing,Medium,7.87,0.77,7,6.67,Strict,13.8,0.75
WL-0243,AI-Inference,Critical,0.5,0.5,46,1.26,Strict,0.63,0.9
WL-0244,ML-Training,Critical,18.16,0.7,28,0.84,Strict,30.63,0.78
WL-0245,AI-Inference,Critical,0.2,0.64,49,3.75,Moderate,0.5,0.87
WL-0246,Web-Service,Low,1.03,0.28,55,6.83,Moderate,2.83,0.94
WL-0247,ML-Training,Medium,2.51,0.73,27,1.12,Strict,6.62,0.65
WL-0248,ML-Training,Low,21.0,0.7,13,6.04,Moderate,49.05,0.76
WL-0249,Data-Processing,Medium,6.5,0.53,62,7.59,Flexible,9.98,0.81
WL-0250,ML-Training,Low,2.08,0.9,28,3.54,Strict,3.22,0.61
WL-0251,Web-Service,Low,1.45,0.35,32,2.26,Flexible,1.94,0.87
WL-0252,Web-Service,Low,0.6,0.46,48,7.74,Flexible,0.92,0.83
WL-0253,Data-Processing,High,6.29,0.57,42,4.42,Strict,10.79,0.83
WL-0254,AI-Inference,High,0.16,0.5,22,7.67,Flexible,0.21,0.75
WL-0255,AI-Inference,Low,0.2,0.62,47,7.76,Strict,0.41,0.87
WL-0256,ML-Training,Low,9.0,0.89,40,2.99,Moderate,18.11,0.74
WL-0257,AI-Inference,Medium,0.22,0.49,18,6.08,Flexible,0.53,0.83
WL-0258,AI-Inference,Critical,0.26,0.54,33,8.75,Moderate,0.52,0.88
WL-0259,Web-Service,High,1.5,0.32,28,9.9,Strict,2.21,0.93
WL-0260,Data-Processing,Medium,1.1,0.74,17,1.4,Moderate,2.25,0.73
WL-0261,Data-Processing,High,3.36,0.51,18,2.3,Strict,8.41,0.75
WL-0262,AI-Inference,High,0.25,0.66,10,1.14,Moderate,0.61,0.85
WL-0263,Data-Processing,Critical,1.99,0.66,4,9.59,Strict,2.96,0.73
WL-0264,Data-Processing,High,5.79,0.63,25,7.39,Strict,15.95,0.72
WL-0265,Data-Processing,Medium,4.96,0.64,17,9.47,Strict,8.03,0.76
WL-0266,Data-Processing,High,5.44,0.77,40,8.04,Strict,8.43,0.74
WL-0267,Web-Service,Medium,1.93,0.43,56,8.29,Moderate,4.28,0.94
WL-0268,ML-Training,High,8.9,0.92,9,5.53,Moderate,20.32,0.63
WL-0269,Data-Processing,Medium,1.47,0.62,27,8.55,Flexible,3.01,0.82
WL-0270,Web-Service,Medium,1.3,0.3,54,3.09,Moderate,2.7,0.87
WL-0271,Data-Processing,Low,5.23,0.66,22,7.47,Strict,14.61,0.8
WL-0272,Data-Processing,High,2.74,0.61,20,2.44,Moderate,3.41,0.83
WL-0273,AI-Inference,Critical,0.09,0.54,39,1.99,Moderate,0.22,0.77
WL-0274,ML-Training,High,22.61,0.81,14,6.07,Moderate,66.05,0.72
WL-0275,ML-Training,Critical,3.15,0.78,39,0.74,Moderate,7.45,0.63
WL-0276,AI-Inference,High,0.13,0.58,40,7.69,Flexible,0.36,0.85
WL-0277,ML-Training,Medium,17.9,0.88,13,1.47,Flexible,51.77,0.79
WL-0278,Web-Service,High,0.27,0.31,52,1.16,Moderate,0.6,0.81
WL-0279,AI-Inference,Medium,0.34,0.52,32,2.01,Moderate,0.55,0.87
WL-0280,ML-Training,Medium,16.18,0.84,34,0.9,Flexible,41.52,0.77
WL-0281,Web-Service,Critical,1.91,0.24,5,5.35,Moderate,3.99,0.86
WL-0282,AI-Inference,Critical,0.3,0.41,4,3.82,Flexible,0.67,0.78
WL-0283,Data-Processing,Low,4.56,0.75,62,6.46,Strict,7.79,0.72
WL-0284,Data-Processing,High,4.58,0.55,16,3.61,Moderate,8.73,0.79
WL-0285,Data-Processing,Critical,4.16,0.63,17,2.26,Flexible,7.9,0.8
WL-0286,ML-Training,High,18.34,0.92,57,7.05,Flexible,51.28,0.71
WL-0287,Data-Processing,High,3.53,0.52,17,5.36,Moderate,4.31,0.79
WL-0288,Web-Service,High,1.73,0.26,33,9.85,Strict,4.44,0.86
WL-0289,AI-Inference,Medium,0.27,0.58,8,6.36,Flexible,0.73,0.85
WL-0290,ML-Training,Critical,20.86,0.94,50,5.9,Flexible,28.68,0.66
WL-0291,Data-Processing,Low,2.51,0.56,21,4.47,Flexible,4.35,0.83
WL-0292,ML-Training,Medium,21.77,0.78,11,9.23,Strict,63.44,0.79
WL-0293,ML-Training,Medium,21.37,0.93,33,8.76,Strict,52.37,0.62
WL-0294,Data-Processing,Medium,2.89,0.71,17,1.12,Strict,5.43,0.81
WL-0295,ML-Training,Low,12.94,0.91,46,1.1,Moderate,32.07,0.79
WL-0296,AI-Inference,Medium,0.14,0.48,19,7.05,Flexible,0.42,0.89
WL-0297,ML-Training,Critical,21.22,0.91,54,2.7,Strict,27.27,0.79
WL-0298,Data-Processing,High,1.62,0.61,46,9.07,Strict,3.55,0.78
WL-0299,Web-Service,High,0.71,0.39,33,9.84,Moderate,1.04,0.89
WL-0300,AI-Inference,High,0.35,0.52,60,1.81,Moderate,0.84,0.76
WL-0301,AI-Inference,Medium,0.39,0.66,42,3.75,Strict,1.05,0.76
WL-0302,Web-Service,Critical,1.72,0.37,9,8.32,Flexible,5.12,0.92
WL-0303,ML-Training,Medium,13.43,0.84,51,2.65,Strict,35.16,0.71
WL-0304,AI-Inference,Critical,0.1,0.62,37,6.74,Moderate,0.16,0.83
WL-0305,Data-Processing,Critical,6.25,0.71,13,8.43,Flexible,15.55,0.73
WL-0306,ML-Training,Critical,12.89,0.93,23,8.34,Strict,30.29,0.66
WL-0307,Web-Service,Low,0.14,0.21,8,2.91,Flexible,0.28,0.83
WL-0308,Data-Processing,High,5.63,0.5,17,3.39,Strict,12.73,0.75
WL-0309,AI-Inference,Critical,0.34,0.58,24,3.84,Moderate,0.83,0.9
WL-0310,AI-Inference,High,0.39,0.63,64,9.73,Moderate,1.16,0.84
WL-0311,AI-Inference,Low,0.07,0.55,9,2.83,Strict,0.16,0.82
WL-0312,ML-Training,Low,12.0,0.89,24,3.44,Strict,32.87,0.8
WL-0313,Web-Service,Low,1.27,0.23,63,5.31,Flexible,2.66,0.89
WL-0314,AI-Inference,Low,0.17,0.57,20,6.06,Strict,0.37,0.83
WL-0315,Web-Service,High,1.81,0.29,31,1.54,Flexible,5.34,0.84
WL-0316,ML-Training,Medium,6.38,0.82,53,4.08,Moderate,9.75,0.76
WL-0317,Data-Processing,Low,7.06,0.68,10,2.06,Flexible,17.88,0.81
WL-0318,ML-Training,High,11.64,0.79,44,5.66,Moderate,23.89,0.6
WL-0319,Data-Processing,High,4.05,0.71,34,4.31,Flexible,11.48,0.71
WL-0320,Web-Service,Critical,0.33,0.25,46,9.97,Moderate,0.73,0.9
WL-0321,AI-Inference,Low,0.08,0.64,18,2.42,Moderate,0.12,0.81
WL-0322,AI-Inference,High,0.06,0.42,41,5.54,Moderate,0.15,0.77
WL-0323,Web-Service,Critical,0.71,0.27,34,5.05,Flexible,1.07,0.83
WL-0324,ML-Training,Low,5.21,0.73,34,5.38,Flexible,11.57,0.77
WL-0325,Web-Service,High,1.29,0.32,30,1.07,Moderate,1.65,0.94
WL-0326,Data-Processing,Critical,6.46,0.51,32,6.26,Flexible,16.47,0.84
