timestamp,location,carbon_intensity_gco2_kwh,renewable_energy_pct,grid_demand_mw,electricity_price_per_kwh
2024-01-01 14:00:00,EU-Central,258,0.5,1381,0.087
2024-01-01 14:00:00,Asia-Pacific,539,0.27,1840,0.126
2024-01-01 15:00:00,US-East,448,0.53,940,0.11
2024-01-01 15:00:00,US-West,279,0.45,1428,0.108
2024-01-01 15:00:00,EU-Central,293,0.26,1374,0.102
2024-01-01 15:00:00,Asia-Pacific,482,0.42,812,0.128
2024-01-01 16:00:00,US-East,410,0.24,674,0.087
2024-01-01 16:00:00,US-West,262,0.65,1263,0.137
2024-01-01 16:00:00,EU-Central,271,0.24,1650,0.119
2024-01-01 16:00:00,Asia-Pacific,535,0.27,1224,0.141
2024-01-01 17:00:00,US-East,446,0.45,1976,0.084
2024-01-01 17:00:00,US-West,286,0.56,1220,0.087
2024-01-01 17:00:00,EU-Central,264,0.33,1844,0.114
2024-01-01 17:00:00,Asia-Pacific,463,0.41,1639,0.106
2024-01-01 18:00:00,US-East,447,0.37,963,0.137
2024-01-01 18:00:00,US-West,321,0.78,1773,0.123
2024-01-01 18:00:00,EU-Central,282,0.53,1747,0.145
2024-01-01 18:00:00,Asia-Pacific,538,0.36,869,0.099
2024-01-01 19:00:00,US-East,447,0.39,1195,0.105
2024-01-01 19:00:00,US-West,273,0.72,1659,0.126
2024-01-01 19:00:00,EU-Central,208,0.29,1796,0.148
2024-01-01 19:00:00,Asia-Pacific,461,0.65,940,0.106
2024-01-01 20:00:00,US-East,408,0.4,1257,0.102
2024-01-01 20:00:00,US-West,291,0.67,1662,0.122
2024-01-01 20:00:00,EU-Central,206,0.29,1765,0.083
2024-01-01 20:00:00,Asia-Pacific,460,0.36,1855,0.11
2024-01-01 21:00:00,US-East,427,0.47,1059,0.095
2024-01-01 21:00:00,US-West,315,0.27,1380,0.088
2024-01-01 21:00:00,EU-Central,286,0.61,1496,0.117
2024-01-01 21:00:00,Asia-Pacific,489,0.23,1309,0.149
2024-01-01 22:00:00,US-East,357,0.2,1117,0.146
2024-01-01 22:00:00,US-West,348,0.28,1023,0.1
2024-01-01 22:00:00,EU-Central,215,0.2,1381,0.092
2024-01-01 22:00:00,Asia-Pacific,498,0.52,971,0.115
2024-01-01 23:00:00,US-East,435,0.68,647,0.108
2024-01-01 23:00:00,US-West,344,0.23,538,0.112
2024-01-01 23:00:00,EU-Central,209,0.72,1679,0.11
2024-01-01 23:00:00,Asia-Pacific,501,0.63,1355,0.1
2024-01-02 00:00:00,US-East,401,0.21,1165,0.092
2024-01-02 00:00:00,US-West,329,0.48,1912,0.144
2024-01-02 00:00:00,EU-Central,211,0.46,716,0.097
2024-01-02 00:00:00,Asia-Pacific,525,0.44,661,0.108
2024-01-02 01:00:00,US-East,389,0.65,953,0.103
2024-01-02 01:00:00,US-West,271,0.25,1796,0.088
2024-01-02 01:00:00,EU-Central,265,0.32,1215,0.105
2024-01-02 01:00:00,Asia-Pacific,532,0.69,983,0.087
2024-01-02 02:00:00,US-East,382,0.32,1733,0.091
2024-01-02 02:00:00,US-West,347,0.59,862,0.147
2024-01-02 02:00:00,EU-Central,280,0.5,1654,0.133
2024-01-02 02:00:00,Asia-Pacific,507,0.61,1656,0.125
2024-01-02 03:00:00,US-East,429,0.39,1784,0.102
2024-01-02 03:00:00,US-West,306,0.24,1405,0.124
2024-01-02 03:00:00,EU-Central,235,0.55,1220,0.116
2024-01-02 03:00:00,Asia-Pacific,489,0.48,577,0.084
2024-01-02 04:00:00,US-East,386,0.25,684,0.123
2024-01-02 04:00:00,US-West,314,0.43,1688,0.119
2024-01-02 04:00:00,EU-Central,294,0.74,1421,0.144
2024-01-02 04:00:00,Asia-Pacific,523,0.59,1158,0.122
2024-01-02 05:00:00,US-East,414,0.29,626,0.112
2024-01-02 05:00:00,US-West,293,0.79,672,0.115
2024-01-02 05:00:00,EU-Central,222,0.22,1949,0.111
2024-01-02 05:00:00,Asia-Pacific,506,0.51,1748,0.091
2024-01-02 06:00:00,US-East,397,0.75,1293,0.109
2024-01-02 06:00:00,US-West,293,0.61,607,0.135
2024-01-02 06:00:00,EU-Central,282,0.4,1175,0.087
2024-01-02 06:00:00,Asia-Pacific,536,0.43,1016,0.131
2024-01-02 07:00:00,US-East,434,0.78,1734,0.141
2024-01-02 07:00:00,US-West,292,0.25,1859,0.09
2024-01-02 07:00:00,EU-Central,244,0.39,1843,0.129
2024-01-02 07:00:00,Asia-Pacific,500,0.28,1951,0.146
2024-01-02 08:00:00,US-East,389,0.54,1817,0.135
2024-01-02 08:00:00,US-West,266,0.6,1903,0.144
2024-01-02 08:00:00,EU-Central,211,0.59,1367,0.116
2024-01-02 08:00:00,Asia-Pacific,452,0.42,869,0.147
2024-01-02 09:00:00,US-East,393,0.77,1495,0.093
2024-01-02 09:00:00,US-West,267,0.29,1105,0.139
2024-01-02 09:00:00,EU-Central,212,0.5,1605,0.138
2024-01-02 09:00:00,Asia-Pacific,517,0.22,1189,0.141
2024-01-02 10:00:00,US-East,429,0.28,1271,0.091
2024-01-02 10:00:00,US-West,273,0.7,1779,0.137
2024-01-02 10:00:00,EU-Central,221,0.63,589,0.109
2024-01-02 10:00:00,Asia-Pacific,536,0.63,1409,0.123
2024-01-02 11:00:00,US-East,446,0.65,1419,0.096
2024-01-02 11:00:00,US-West,280,0.39,1460,0.143
2024-01-02 11:00:00,EU-Central,224,0.42,1668,0.149
2024-01-02 11:00:00,Asia-Pacific,509,0.66,1282,0.115
2024-01-02 12:00:00,US-East,403,0.78,908,0.136
2024-01-02 12:00:00,US-West,267,0.72,606,0.125
2024-01-02 12:00:00,EU-Central,247,0.53,710,0.13
2024-01-02 12:00:00,Asia-Pacific,516,0.71,1083,0.086
2024-01-02 13:00:00,US-East,370,0.36,1551,0.09
2024-01-02 13:00:00,US-West,305,0.26,954,0.137
2024-01-02 13:00:00,EU-Central,244,0.76,1349,0.084
2024-01-02 13:00:00,Asia-Pacific,514,0.42,1290,0.15
2024-01-02 14:00:00,US-East,397,0.33,1152,0.145
2024-01-02 14:00:00,US-West,341,0.59,799,0.09
2024-01-02 14:00:00,EU-Central,236,0.75,1467,0.129
2024-01-02 14:00:00,Asia-Pacific,467,0.66,1460,0.111
2024-01-02 15:00:00,US-East,350,0.74,538,0.098
2024-01-02 15:00:00,US-West,269,0.53,1989,0.123
2024-01-02 15:00:00,EU-Central,254,0.27,1090,0.097
2024-01-02 15:00:00,Asia-Pacific,465,0.23,1359,0.125
2024-01-02 16:00:00,US-East,429,0.47,727,0.139
2024-01-02 16:00:00,US-West,313,0.56,533,0.124
2024-01-02 16:00:00,EU-Central,273,0.35,794,0.1
2024-01-02 16:00:00,Asia-Pacific,450,0.57,992,0.12
2024-01-02 17:00:00,US-East,373,0.6,675,0.117
2024-01-02 17:00:00,US-West,296,0.24,1577,0.118
2024-01-02 17:00:00,EU-Central,300,0.79,1634,0.081
2024-01-02 17:00:00,Asia-Pacific,510,0.23,1292,0.149
2024-01-02 18:00:00,US-East,382,0.65,1231,0.135
2024-01-02 18:00:00,US-West,294,0.34,1845,0.124
2024-01-02 18:00:00,EU-Central,298,0.55,1180,0.089
2024-01-02 18:00:00,Asia-Pacific,495,0.53,1816,0.092
2024-01-02 19:00:00,US-East,449,0.61,1924,0.113
2024-01-02 19:00:00,US-West,273,0.69,629,0.13
2024-01-02 19:00:00,EU-Central,258,0.22,912,0.083
2024-01-02 19:00:00,Asia-Pacific,475,0.73,1146,0.145
2024-01-02 20:00:00,US-East,415,0.44,1612,0.113
2024-01-02 20:00:00,US-West,254,0.65,891,0.1
2024-01-02 20:00:00,EU-Central,299,0.23,1842,0.103
2024-01-02 20:00:00,Asia-Pacific,465,0.68,1394,0.142
2024-01-02 21:00:00,US-East,445,0.46,1291,0.104
2024-01-02 21:00:00,US-West,273,0.5,1518,0.106
2024-01-02 21:00:00,EU-Central,266,0.36,669,0.131
2024-01-02 21:00:00,Asia-Pacific,460,0.46,869,0.118
2024-01-02 22:00:00,US-East,391,0.26,1171,0.126
2024-01-02 22:00:00,US-West,289,0.47,1969,0.11
2024-01-02 22:00:00,EU-Central,288,0.47,1415,0.083
2024-01-02 22:00:00,Asia-Pacific,495,0.57,1390,0.099
2024-01-02 23:00:00,US-East,357,0.25,1805,0.108
2024-01-02 23:00:00,US-West,315,0.68,1891,0.091
2024-01-02 23:00:00,EU-Central,203,0.29,1744,0.127
2024-01-02 23:00:00,Asia-Pacific,506,0.22,637,0.097
2024-01-03 00:00:00,US-East,432,0.42,1284,0.146
2024-01-03 00:00:00,US-West,254,0.56,1890,0.111
2024-01-03 00:00:00,EU-Central,247,0.42,657,0.12
2024-01-03 00:00:00,Asia-Pacific,517,0.42,1143,0.125
2024-01-03 01:00:00,US-East,381,0.78,553,0.131
2024-01-03 01:00:00,US-West,313,0.51,1650,0.088
2024-01-03 01:00:00,EU-Central,299,0.36,1413,0.095
2024-01-03 01:00:00,Asia-Pacific,528,0.37,1505,0.094
2024-01-03 02:00:00,US-East,367,0.71,1425,0.092
2024-01-03 02:00:00,US-West,341,0.47,679,0.137
2024-01-03 02:00:00,EU-Central,240,0.6,1953,0.085
2024-01-03 02:00:00,Asia-Pacific,519,0.37,1114,0.14
2024-01-03 03:00:00,US-East,441,0.63,1934,0.125
2024-01-03 03:00:00,US-West,296,0.51,748,0.149
2024-01-03 03:00:00,EU-Central,217,0.34,1511,0.082
2024-01-03 03:00:00,Asia-Pacific,520,0.54,1457,0.136
2024-01-03 04:00:00,US-East,420,0.28,676,0.085
2024-01-03 04:00:00,US-West,300,0.8,1972,0.114
2024-01-03 04:00:00,EU-Central,252,0.66,1677,0.085
2024-01-03 04:00:00,Asia-Pacific,490,0.59,1421,0.113
2024-01-03 05:00:00,US-East,416,0.41,1629,0.125
2024-01-03 05:00:00,US-West,273,0.66,764,0.11
2024-01-03 05:00:00,EU-Central,207,0.7,1561,0.091
2024-01-03 05:00:00,Asia-Pacific,471,0.3,1952,0.096
2024-01-03 06:00:00,US-East,416,0.74,661,0.098
2024-01-03 06:00:00,US-West,331,0.77,1062,0.089
2024-01-03 06:00:00,EU-Central,238,0.57,691,0.115
2024-01-03 06:00:00,Asia-Pacific,471,0.56,1689,0.091
2024-01-03 07:00:00,US-East,434,0.57,1739,0.104
2024-01-03 07:00:00,US-West,322,0.22,558,0.086
2024-01-03 07:00:00,EU-Central,282,0.66,1042,0.126
2024-01-03 07:00:00,Asia-Pacific,548,0.54,1765,0.125
2024-01-03 08:00:00,US-East,413,0.73,1617,0.1
2024-01-03 08:00:00,US-West,288,0.49,1902,0.108
2024-01-03 08:00:00,EU-Central,258,0.24,622,0.091
2024-01-03 08:00:00,Asia-Pacific,503,0.49,917,0.104
2024-01-03 09:00:00,US-East,368,0.39,1971,0.102
2024-01-03 09:00:00,US-West,294,0.79,767,0.133
2024-01-03 09:00:00,EU-Central,265,0.54,1153,0.097
2024-01-03 09:00:00,Asia-Pacific,465,0.36,1007,0.09
2024-01-03 10:00:00,US-East,356,0.37,1286,0.14
2024-01-03 10:00:00,US-West,303,0.35,827,0.137
2024-01-03 10:00:00,EU-Central,273,0.63,888,0.133
2024-01-03 10:00:00,Asia-Pacific,513,0.8,1456,0.115
2024-01-03 11:00:00,US-East,389,0.5,684,0.146
2024-01-03 11:00:00,US-West,314,0.47,993,0.095
2024-01-03 11:00:00,EU-Central,245,0.23,1076,0.115
2024-01-03 11:00:00,Asia-Pacific,533,0.6,1085,0.118
2024-01-03 12:00:00,US-East,363,0.46,1041,0.131
2024-01-03 12:00:00,US-West,347,0.44,592,0.108
2024-01-03 12:00:00,EU-Central,272,0.54,1242,0.119
2024-01-03 12:00:00,Asia-Pacific,459,0.43,1422,0.134
2024-01-03 13:00:00,US-East,385,0.7,1776,0.128
2024-01-03 13:00:00,US-West,265,0.28,698,0.108
2024-01-03 13:00:00,EU-Central,243,0.53,1248,0.133
2024-01-03 13:00:00,Asia-Pacific,475,0.56,1322,0.115
2024-01-03 14:00:00,US-East,355,0.22,1961,0.103
2024-01-03 14:00:00,US-West,310,0.51,805,0.122
2024-01-03 14:00:00,EU-Central,265,0.28,1755,0.102
2024-01-03 14:00:00,Asia-Pacific,500,0.79,1112,0.122
2024-01-03 15:00:00,US-East,414,0.7,1590,0.114
2024-01-03 15:00:00,US-West,322,0.38,534,0.106
2024-01-03 15:00:00,EU-Central,286,0.27,1353,0.121
2024-01-03 15:00:00,Asia-Pacific,542,0.72,1788,0.082
2024-01-03 16:00:00,US-East,410,0.36,1842,0.135
2024-01-03 16:00:00,US-West,349,0.55,966,0.13
2024-01-03 16:00:00,EU-Central,274,0.49,1573,0.124
2024-01-03 16:00:00,Asia-Pacific,529,0.66,1278,0.09
2024-01-03 17:00:00,US-East,437,0.35,1672,0.146
2024-01-03 17:00:00,US-West,264,0.31,1403,0.102
2024-01-03 17:00:00,EU-Central,219,0.45,917,0.109
2024-01-03 17:00:00,Asia-Pacific,549,0.57,1465,0.141
2024-01-03 18:00:00,US-East,444,0.64,1945,0.09
2024-01-03 18:00:00,US-West,276,0.54,1856,0.113
2024-01-03 18:00:00,EU-Central,248,0.39,854,0.112
2024-01-03 18:00:00,Asia-Pacific,518,0.41,1225,0.127
2024-01-03 19:00:00,US-East,442,0.61,1919,0.099
2024-01-03 19:00:00,US-West,311,0.32,1004,0.1
2024-01-03 19:00:00,EU-Central,238,0.33,1109,0.134
2024-01-03 19:00:00,Asia-Pacific,540,0.32,1943,0.114
2024-01-03 20:00:00,US-East,411,0.41,1977,0.099
2024-01-03 20:00:00,US-West,265,0.54,1612,0.107
2024-01-03 20:00:00,EU-Central,250,0.69,799,0.1
2024-01-03 20:00:00,Asia-Pacific,486,0.77,661,0.104
2024-01-03 21:00:00,US-East,406,0.59,1481,0.095
2024-01-03 21:00:00,US-West,318,0.36,1651,0.129
2024-01-03 21:00:00,EU-Central,217,0.27,1701,0.097
2024-01-03 21:00:00,Asia-Pacific,456,0.6,1587,0.096
2024-01-03 22:00:00,US-East,379,0.23,1346,0.103
2024-01-03 22:00:00,US-West,310,0.26,781,0.08
2024-01-03 22:00:00,EU-Central,270,0.79,823,0.108
2024-01-03 22:00:00,Asia-Pacific,510,0.49,908,0.133
2024-01-03 23:00:00,US-East,386,0.39,1822,0.084
2024-01-03 23:00:00,US-West,348,0.25,1675,0.096
2024-01-03 23:00:00,EU-Central,294,0.63,576,0.144
2024-01-03 23:00:00,Asia-Pacific,472,0.45,860,0.145
2024-01-04 00:00:00,US-East,354,0.8,1313,0.135
2024-01-04 00:00:00,US-West,273,0.76,1092,0.141
2024-01-04 00:00:00,EU-Central,201,0.38,1734,0.088
2024-01-04 00:00:00,Asia-Pacific,492,0.37,1813,0.118
2024-01-04 01:00:00,US-East,413,0.73,774,0.14
2024-01-04 01:00:00,US-West,309,0.36,730,0.103
2024-01-04 01:00:00,EU-Central,293,0.48,1026,0.13
2024-01-04 01:00:00,Asia-Pacific,451,0.64,1104,0.12
2024-01-04 02:00:00,US-East,446,0.32,1751,0.14
2024-01-04 02:00:00,US-West,301,0.7,1555,0.103
2024-01-04 02:00:00,EU-Central,251,0.6,878,0.149
2024-01-04 02:00:00,Asia-Pacific,511,0.39,1008,0.08
2024-01-04 03:00:00,US-East,399,0.34,1046,0.147
2024-01-04 03:00:00,US-West,288,0.55,1673,0.081
2024-01-04 03:00:00,EU-Central,283,0.42,983,0.084
2024-01-04 03:00:00,Asia-Pacific,465,0.48,827,0.108
2024-01-04 04:00:00,US-East,414,0.75,1940,0.134
2024-01-04 04:00:00,US-West,338,0.27,1104,0.106
2024-01-04 04:00:00,EU-Central,228,0.33,773,0.113
2024-01-04 04:00:00,Asia-Pacific,508,0.65,1740,0.106
2024-01-04 05:00:00,US-East,439,0.53,1464,0.133
2024-01-04 05:00:00,US-West,335,0.7,1006,0.128
2024-01-04 05:00:00,EU-Central,276,0.72,667,0.117
2024-01-04 05:00:00,Asia-Pacific,517,0.62,659,0.144
2024-01-04 06:00:00,US-East,364,0.24,1621,0.143
2024-01-04 06:00:00,US-West,275,0.54,806,0.092
2024-01-04 06:00:00,EU-Central,266,0.47,1893,0.094
2024-01-04 06:00:00,Asia-Pacific,524,0.49,1545,0.111
2024-01-04 07:00:00,US-East,357,0.47,1551,0.109
2024-01-04 07:00:00,US-West,322,0.23,1446,0.127
2024-01-04 07:00:00,EU-Central,239,0.63,1310,0.098
2024-01-04 07:00:00,Asia-Pacific,450,0.65,1684,0.085
2024-01-04 08:00:00,US-East,404,0.41,630,0.118
2024-01-04 08:00:00,US-West,257,0.76,641,0.149
2024-01-04 08:00:00,EU-Central,260,0.22,1337,0.093
2024-01-04 08:00:00,Asia-Pacific,467,0.66,1993,0.125
2024-01-04 09:00:00,US-East,403,0.42,1283,0.111
2024-01-04 09:00:00,US-West,298,0.43,1898,0.147
2024-01-04 09:00:00,EU-Central,269,0.28,1212,0.088
2024-01-04 09:00:00,Asia-Pacific,518,0.44,760,0.131
2024-01-04 10:00:00,US-East,378,0.7,546,0.148
2024-01-04 10:00:00,US-West,309,0.6,1615,0.11
2024-01-04 10:00:00,EU-Central,248,0.69,1006,0.112
2024-01-04 10:00:00,Asia-Pacific,469,0.37,1984,0.134
2024-01-04 11:00:00,US-East,354,0.69,1358,0.123
2024-01-04 11:00:00,US-West,252,0.34,637,0.087
2024-01-04 11:00:00,EU-Central,204,0.47,1876,0.129
2024-01-04 11:00:00,Asia-Pacific,456,0.35,590,0.108
2024-01-04 12:00:00,US-East,379,0.52,615,0.09
2024-01-04 12:00:00,US-West,287,0.34,1998,0.12
2024-01-04 12:00:00,EU-Central,273,0.56,1877,0.137
2024-01-04 12:00:00,Asia-Pacific,480,0.38,793,0.149
2024-01-04 13:00:00,US-East,416,0.33,1115,0.099
2024-01-04 13:00:00,US-West,321,0.77,858,0.124
2024-01-04 13:00:00,EU-Central,254,0.53,596,0.148
2024-01-04 13:00:00,Asia-Pacific,532,0.6,1574,0.102
2024-01-04 14:00:00,US-East,403,0.44,1114,0.106
2024-01-04 14:00:00,US-West,346,0.52,993,0.139
2024-01-04 14:00:00,EU-Central,238,0.71,795,0.136
2024-01-04 14:00:00,Asia-Pacific,457,0.54,1353,0.119
2024-01-04 15:00:00,US-East,367,0.43,1022,0.094
2024-01-04 15:00:00,US-West,332,0.25,1421,0.139
2024-01-04 15:00:00,EU-Central,211,0.52,890,0.084
2024-01-04 15:00:00,Asia-Pacific,498,0.6,1734,0.083
2024-01-04 16:00:00,US-East,359,0.31,1703,0.131
2024-01-04 16:00:00,US-West,321,0.33,927,0.141
2024-01-04 16:00:00,EU-Central,242,0.38,531,0.095
2024-01-04 16:00:00,Asia-Pacific,474,0.78,740,0.132
2024-01-04 17:00:00,US-East,446,0.49,996,0.129
2024-01-04 17:00:00,US-West,340,0.32,990,0.119
2024-01-04 17:00:00,EU-Central,299,0.37,1454,0.117
2024-01-04 17:00:00,Asia-Pacific,495,0.39,1236,0.116
2024-01-04 18:00:00,US-East,413,0.48,1979,0.113
2024-01-04 18:00:00,US-West,290,0.75,1259,0.102
2024-01-04 18:00:00,EU-Central,205,0.54,953,0.132
2024-01-04 18:00:00,Asia-Pacific,452,0.36,1696,0.121
2024-01-04 19:00:00,US-East,403,0.38,901,0.103
2024-01-04 19:00:00,US-West,298,0.54,1003,0.115
2024-01-04 19:00:00,EU-Central,283,0.77,1191,0.098
2024-01-04 19:00:00,Asia-Pacific,512,0.78,1814,0.132
2024-01-04 20:00:00,US-East,408,0.3,1221,0.092
2024-01-04 20:00:00,US-West,342,0.53,876,0.144
2024-01-04 20:00:00,EU-Central,269,0.79,620,0.117
2024-01-04 20:00:00,Asia-Pacific,459,0.77,1868,0.083
2024-01-04 21:00:00,US-East,350,0.45,1791,0.096
2024-01-04 21:00:00,US-West,340,0.29,947,0.115
2024-01-04 21:00:00,EU-Central,247,0.24,1806,0.127
2024-01-04 21:00:00,Asia-Pacific,528,0.75,1850,0.114
2024-01-04 22:00:00,US-East,350,0.52,1342,0.081
2024-01-04 22:00:00,US-West,317,0.63,1597,0.148
2024-01-04 22:00:00,EU-Central,202,0.5,1929,0.127
2024-01-04 22:00:00,Asia-Pacific,472,0.26,697,0.117
2024-01-04 23:00:00,US-East,380,0.32,1578,0.098
2024-01-04 23:00:00,US-West,295,0.36,1312,0.086
2024-01-04 23:00:00,EU-Central,251,0.48,998,0.149
2024-01-04 23:00:00,Asia-Pacific,478,0.38,665,0.126
2024-01-05 00:00:00,US-East,433,0.66,691,0.108
2024-01-05 00:00:00,US-West,298,0.53,614,0.125
2024-01-05 00:00:00,EU-Central,289,0.3,1523,0.139
2024-01-05 00:00:00,Asia-Pacific,532,0.67,1658,0.148
2024-01-05 01:00:00,US-East,362,0.74,587,0.096
2024-01-05 01:00:00,US-West,338,0.73,1473,0.099
2024-01-05 01:00:00,EU-Central,209,0.61,1074,0.143
2024-01-05 01:00:00,Asia-Pacific,522,0.59,867,0.145
2024-01-05 02:00:00,US-East,390,0.21,924,0.121
2024-01-05 02:00:00,US-West,346,0.69,1315,0.145
2024-01-05 02:00:00,EU-Central,238,0.3,992,0.12
2024-01-05 02:00:00,Asia-Pacific,499,0.61,1607,0.103
2024-01-05 03:00:00,US-East,446,0.64,1911,0.131
2024-01-05 03:00:00,US-West,314,0.65,1208,0.084
2024-01-05 03:00:00,EU-Central,255,0.34,655,0.104
2024-01-05 03:00:00,Asia-Pacific,548,0.57,1719,0.108
2024-01-05 04:00:00,US-East,449,0.4,1798,0.099
2024-01-05 04:00:00,US-West,307,0.49,1228,0.119
2024-01-05 04:00:00,EU-Central,248,0.46,1892,0.121
2024-01-05 04:00:00,Asia-Pacific,498,0.25,1766,0.101
2024-01-05 05:00:00,US-East,381,0.63,668,0.099
2024-01-05 05:00:00,US-West,298,0.63,1798,0.091
2024-01-05 05:00:00,EU-Central,249,0.39,718,0.086
2024-01-05 05:00:00,Asia-Pacific,489,0.47,1052,0.087
2024-01-05 06:00:00,US-East,361,0.31,1419,0.119
2024-01-05 06:00:00,US-West,315,0.44,553,0.086
2024-01-05 06:00:00,EU-Central,270,0.26,1724,0.135
2024-01-05 06:00:00,Asia-Pacific,499,0.21,1347,0.107
2024-01-05 07:00:00,US-East,360,0.63,1645,0.143
2024-01-05 07:00:00,US-West,281,0.54,847,0.128
2024-01-05 07:00:00,EU-Central,221,0.28,1116,0.099
2024-01-05 07:00:00,Asia-Pacific,468,0.24,1390,0.099
2024-01-05 08:00:00,US-East,388,0.49,657,0.105
2024-01-05 08:00:00,US-West,281,0.63,1515,0.122
2024-01-05 08:00:00,EU-Central,225,0.47,777,0.101
2024-01-05 08:00:00,Asia-Pacific,500,0.4,1770,0.107
2024-01-05 09:00:00,US-East,392,0.46,1381,0.137
2024-01-05 09:00:00,US-West,333,0.78,778,0.101
2024-01-05 09:00:00,EU-Central,277,0.77,911,0.114
2024-01-05 09:00:00,Asia-Pacific,472,0.78,1153,0.1
2024-01-05 10:00:00,US-East,438,0.58,1679,0.135
2024-01-05 10:00:00,US-West,291,0.43,1304,0.106
2024-01-05 10:00:00,EU-Central,272,0.32,1617,0.093
2024-01-05 10:00:00,Asia-Pacific,548,0.53,1989,0.112
2024-01-05 11:00:00,US-East,440,0.33,1096,0.138
2024-01-05 11:00:00,US-West,258,0.69,1337,0.127
2024-01-05 11:00:00,EU-Central,217,0.58,995,0.098
2024-01-05 11:00:00,Asia-Pacific,469,0.63,1272,0.085
2024-01-05 12:00:00,US-East,426,0.49,1320,0.117
2024-01-05 12:00:00,US-West,338,0.45,575,0.135
2024-01-05 12:00:00,EU-Central,246,0.62,1599,0.122
2024-01-05 12:00:00,Asia-Pacific,460,0.27,1008,0.126
2024-01-05 13:00:00,US-East,395,0.3,1754,0.083
2024-01-05 13:00:00,US-West,332,0.61,1318,0.148
2024-01-05 13:00:00,EU-Central,242,0.78,1381,0.087
2024-01-05 13:00:00,Asia-Pacific,462,0.36,1545,0.132
2024-01-05 14:00:00,US-East,421,0.55,1678,0.095
